ID,Username,Time,Language,Text,Hashtags,Geo
0,1507286648865931317,2022-04-25 09:15:04+00:00,en,RT @WoodlandTrust: The demand for trees to tackle #ClimateChange is growing! This is an opportunity for the next NI Assembly to support gre…,['climatechange'],
1,1302954940512509953,2022-04-25 09:15:02+00:00,en,"Interesting read from The @guardian on how the success of modern agriculture has actually made our food systems more vulnerable to the #climatecrisis. 

#industrialization #pesticides #agriculture

https://t.co/zJzAiVYLIU","['climatecrisis.', 'industrialization', 'pesticides', 'agriculture']",
2,1441996327559127049,2022-04-25 09:15:02+00:00,en,USA News Headlines : This Eminent Scientist Says Climate Activists Need to Get Real   #usanewsheadlines #climatechange #globalwarming #useconomy #greenhousegas #carboncapture https://t.co/e847QEhLCf,"['usanewsheadlines', 'climatechange', 'globalwarming', 'useconomy', 'greenhousegas', 'carboncapture']",
3,126075164,2022-04-25 09:14:58+00:00,en,"RT @IV_Network: #careexperience #ClimateAction #ClimateCrisis 
Support young people under 17 to shape what governments must do to protect t…","['careexperience', 'climateaction', 'climatecrisis']",
4,2823122808,2022-04-25 09:14:52+00:00,en,RT @WoodlandTrust: The demand for trees to tackle #ClimateChange is growing! This is an opportunity for the next NI Assembly to support gre…,['climatechange'],
5,1280122489939595264,2022-04-25 09:14:34+00:00,en,"Many are still missing after this month’s floods. Extreme weather is becoming more frequent, and it can be devastating

https://t.co/2EbuJHEmoN

#water #drought #flood #globalwarming #ESG #environment #dayzero #heat #nature #climatechange #climatecrisis #future #sustainability","['water', 'drought', 'flood', 'globalwarming', 'esg', 'environment', 'dayzero', 'heat', 'nature', 'climatechange', 'climatecrisis', 'future', 'sustainability']",
6,2420313697,2022-04-25 09:14:32+00:00,en,"RT @AMRarmy: The #WorldWeWant has a legally binding global #PlasticsTreaty that limits plastic production, which in turn, would reduce #pla…","['worldwewant', 'plasticstreaty', 'pla…']",
7,783413094810648576,2022-04-25 09:14:28+00:00,en,The latest The Climate Change Daily! https://t.co/dUblM0gO24 Thanks to @RiseUp4Climate #extinctionrebellion #climatecrisis,"['extinctionrebellion', 'climatecrisis']",
8,2774931457,2022-04-25 09:14:27+00:00,en,"@JeremyVineOn5 Should you get paid less? No. In fact it should be encouraged. We are in a #ClimateEmergency and #CostoflivinCrisis, #JacobReesMogg needs to wake up.","['climateemergency', 'costoflivincrisis,', 'jacobreesmogg']",
9,173920041,2022-04-25 09:14:27+00:00,en,"Misleading advertisements on #Twitter that contradict the scientific consensus on climate change are prohibited. To know more details follow this shared article.
#socialmedia #climatechange #ban #advertisements #technews 
https://t.co/w6LqOnNcR9","['twitter', 'socialmedia', 'climatechange', 'ban', 'advertisements', 'technews']",
10,960878376717340672,2022-04-25 09:14:14+00:00,en,The latest Topic 8 Sustainability ! https://t.co/mEgTR2IPZj Thanks to @gpandeylab #ai #climatechange,"['ai', 'climatechange']",
11,1440679847773179924,2022-04-25 09:14:13+00:00,en,"Not sure what Rawstone Consulting do? The clue is not in the name, so this picture might help…. 
#esg #esgstrategy #esgreporting #sustainability #sustainabilitymatters #governance #esgtargets #netzero #climatechange #sustainabilityconsulting https://t.co/QZDV1Pz3Bf","['esg', 'esgstrategy', 'esgreporting', 'sustainability', 'sustainabilitymatters', 'governance', 'esgtargets', 'netzero', 'climatechange', 'sustainabilityconsulting']",
12,1200719088344940544,2022-04-25 09:14:06+00:00,und,#ClimateCrisis https://t.co/0OkkSfV4pE,['climatecrisis'],
13,712293243954839556,2022-04-25 09:13:56+00:00,en,"Authorised by Bob Weis on behalf of The Truth and Integrity Project. 

These Futures Are Not Inevitable https://t.co/cXn74RPb2X

It’s not too late to do something about #climatechange Australia votes. @GraftonQuentin @frankjotzo @ProfMarkHowden @GraftonQuentin @climate https://t.co/Gb0v7GTNcu",['climatechange'],
14,2287965890,2022-04-25 09:13:49+00:00,en,RT @murtazawahab1: The easiest way to tackle the affects of #ClimateChange is to plant trees aggressively today. #KMC is playing its role b…,"['climatechange', 'kmc']",
15,1393875012453535744,2022-04-25 09:13:49+00:00,en,"RT @MHInnovation: 🚨 Webinar alert: Intervention Journal is partnering with @UnitedGMH to discuss #climatechange and #MHPSS  

📅Tuesday 26th…","['climatechange', 'mhpss']",
16,18971520,2022-04-25 09:13:42+00:00,en,"Europe suffered year of climate chaos in 2021, EU report says — and yet we're still not doing enough to tackle the #climateemergency? 
https://t.co/eufB0AJpGi 
via @ReutersUK",['climateemergency?'],
17,2378952752,2022-04-25 09:13:27+00:00,en,"RT @Greenpeace: #ClimateActionNow 

Sir Patrick Vallance, the UK’s chief scientific adviser, will finally address its parliament about the…",['climateactionnow'],
18,1377604775869550599,2022-04-25 09:13:22+00:00,en,"@planningedin @cajardineMP @TaylorWimpeyplc 
This is a wildlife crime @Ratho It is breeding season &amp; birds are nesting. A lawyer has been consulted. No nests can be removed from a felled tree either &amp; have evidence they're nesting. #ClimateEmergency #breedingseason @RSPBScotland https://t.co/92TkLRRm8v","['climateemergency', 'breedingseason']",
19,1132791264242307073,2022-04-25 09:13:19+00:00,en,"RT @CaraMia200: 96.8% of eligible Australn voters enrolld &amp; ready for change!Thank you to #Cultists &amp; whackjobs in #LNPCorruptionParty,  fo…","['cultists', 'lnpcorruptionparty,']",
